Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Pilates duration (ms),Treadmill running duration (ms),Treadmill walking duration (ms),Yoga duration (ms)
2019-07-20,,,,1760.9049440759543,25.0,25,,,,,,,,6581,3277.7785917520523,0.7378895546917188,1.2474806308746338,0.26062342524528503,80,,77866085,5131216,,,,,
2019-07-21,,,,1552.3855376688277,20.0,20,,,,,,,,3244,1710.5047467947006,1.126357485122286,1.5051062107086182,0.9941949248313904,31,,81317576,1536590,,,,,
2019-07-22,,,,1561.069974211454,6.0,6,28.5032593,77.0970551,28.5043882,77.0973547,,,,2671,1098.8760903477669,0.6761172064527314,7.849999904632568,0.017494337633252144,38,,81543260,1686299,,,,,
2019-07-23,,,,1550.6613444386476,6.0,6,28.4764818,77.0556217,28.4994609,77.0783383,,,,2274,1010.5621943101287,0.5173592253555481,1.8899999856948853,0.048036351799964905,31,,84615059,1506868,,,,,
2019-07-24,,,,1558.0688677430962,2.0,2,28.4732059,77.0474651,28.4740913,77.0483189,,,,2290,1019.8991627693176,0.7306147596184399,5.130000114440918,0.09498556703329086,29,,82800281,1634565,,,,,
2019-07-25,,,,1639.2325966519722,31.0,31,28.4779874,77.0609044,28.4817108,77.0685053,,,,5094,2803.7687777280807,0.5473212670053759,1.3700000047683716,0.2795715630054474,53,,82758704,3033728,,,,,
2019-07-26,,,,1557.8418799341457,1.0,1,,,,,,,,1791,906.2285186946392,2.1624251224727202,15.529999732971191,0.304250568151474,21,,80743688,1630652,,,,,
2019-07-27,,,,1693.8053224303048,13.0,13,28.4784743,77.0612611,28.6334592,77.2228336,,,,5181,2653.4201021064073,3.3777040772964613,18.079999923706055,0.27521800994873047,69,,73193573,3974499,,,,,
2019-07-28,,,,1685.8340209656824,44.0,44,28.478625,77.0620041,28.4813377,77.0701993,,,,5685,3047.0813452005386,1.0572525671871795,2.8743700981140137,0.3800082802772522,55,,82945850,2145665,749093,,,,
2019-07-29,,,,1865.2664664885542,63.0,50,28.4787781,77.0627154,28.4813723,77.0693899,,,,6543,2301.773082137108,0.48379189475310935,1.4211894273757935,0.2864767611026764,126,600000,78802116,2383275,60296,,780000,,3600000
2019-07-30,,,,1645.673542953746,32.0,32,,,,,,,,5222,2981.8796095848083,0.9381939661906743,1.3162349462509155,0.253402441740036,59,,82619853,3144764,,,,,
2019-07-31,,,,2109.889353797917,79.0,75,,,,,,,,8426,6004.252145767212,0.5498314868971803,7.653508186340332,0.2651999890804291,108,600000,77544807,2145804,,3000000,300000,600000,
2019-08-01,,,,2084.6833591914037,154.0,149,,,,,,,,3811,859.1740990877151,0.5867469860676798,1.1669353246688843,0.2740689516067505,172,600000,74512267,984998,,7200000,300000,720000,
2019-08-02,,,,1569.3959778780693,23.0,23,,,,,,,,3357,1867.5143284797668,0.8377179022105418,1.5835539102554321,0.5642527341842651,33,,84570169,1829831,,,,,
2019-08-03,,,,1524.8455210281704,,,,,,,,,,1357,228.07515972852707,0.5055851661865483,0.7754788994789124,0.28220757842063904,17,,67431355,1061834,,,,,
2019-08-04,,,,1530.2056430396578,1.0,1,,,,,,,,1254,454.7483158111572,0.4065864278013395,1.2067251205444336,0.2721730172634125,17,,70347298,1154235,,,,,
2019-08-05,,,,1474.5255556943368,,,,,,,,,,541,186.90657317638397,0.53990367920659,0.9094272255897522,0.2815583050251007,9,,85884236,194378,,,,,
2019-08-06,,,,1667.0986809587444,23.0,23,,,,,,,,3759,2163.3755316734314,0.7938991634976504,1.2548977136611938,0.27935153245925903,41,,82882738,1325265,969392,,,,
2019-08-07,,,,1487.5321082875814,,,,,,,,,,1116,340.56493186950684,0.937486628785825,1.040448784828186,0.2815583050251007,18,,83269277,418596,,,,,
2019-08-08,,,,1479.3001712161574,2.0,2,,,,,,,,387,198.70067024230957,0.7973515336995899,5.0,0.28067588806152344,4,,84843382,276685,,,,,
2019-08-09,,,,1503.7216160780138,,,,,,,,,,911,222.12028324604034,7.3630487421804975,25.0,0.27947351336479187,14,,82869538,697682,,,,,
2019-08-10,,,,1503.9569626553812,2.0,2,,,,,,,,2370,364.0684548020363,2.4666522545248575,24.0,0.2765193283557892,25,,74629112,701741,,,,,
2019-08-11,,,,1587.2268004993578,2.0,2,28.5025147,77.0970372,28.5044671,77.0973048,,,,2531,1110.9006614685059,1.7963830776590575,14.359999656677246,0.2815583050251007,36,,78541578,2137212,,,,,
2019-08-12,,,,1474.8889805630504,,,,,,,,,,406,72.76328468322754,0.5488339811563492,0.7936059236526489,0.30406203866004944,5,,85384552,200643,,,,,
2019-08-13,,,,1644.3290611675395,16.0,16,,,,,,,,5425,2482.0674253702164,0.47462633824225015,1.2266364097595215,0.2586625814437866,64,,79866968,3121587,,,,,
2019-08-14,,,,1496.1298900857396,,,,,,,,,,695,169.02961778640747,0.5562967494152751,1.8200000524520874,0.30324211716651917,10,,85166811,566810,,,,,
2019-08-15,,,,1468.9217303692415,,,,,,,,,,230,1.689349889755249,12.063460300487034,47.0,0.5099999904632568,1,,61630868,97775,,,,,
2019-08-16,,,,1604.0121839560074,5.0,5,28.4781982,77.0610062,28.4786169,77.0619859,,,,2604,1169.7750849723816,0.6826983729066829,1.1481465101242065,0.41019803285598755,29,,83268849,317638,934003,,,,
2019-08-17,,,,1463.249916992264,,,,,,,,,,156,,13.0,13.0,13.0,,,85152958,,,,,,
2019-08-18,,,,1675.7678736589623,47.0,44,28.4738052,77.0528052,28.4751978,77.0548117,,,,6525,3868.3383185863495,1.081655261376563,2.7100000381469727,0.11045292019844055,60,,79909782,3663554,,,,,
2019-08-19,,,,1616.800278136159,24.0,24,28.4784825,77.0607108,28.4818089,77.0697988,,,,4432,2438.647034496069,1.4458484701785106,2.6700000762939453,0.2886020839214325,48,,83344716,2647022,,,,,
2019-08-20,,,,1551.8269033183117,1.0,1,,,,,,,,1265,425.8133872151375,0.43706603865041194,6.110000133514404,0.2752539813518524,19,,83394327,1082390,196891,,,,
2019-08-21,,,,1485.5976133519566,,,,,,,,,,559,190.4110813140869,0.5495940727621902,0.9988366365432739,0.28151291608810425,7,,85710249,385246,,,,,
2019-08-22,,,,1556.373277919123,,,28.4731507,77.0474948,28.4798063,77.0640673,,,,1876,891.5122128799558,0.3995841146111446,7.650000095367432,0.095134437084198,24,,83652433,1605334,,,,,
2019-08-23,,,,1642.1666781823817,1.0,1,28.4781074,77.0805122,28.4798802,77.0823274,,,,2922,1270.1498794555664,0.7235894200448333,4.679999828338623,0.253402441740036,42,,79205003,3084308,,,,,
2019-08-24,,,,1710.4893532552367,36.0,36,28.4789972,77.0639029,28.5780533,77.196399,,,,8331,3490.3985527306795,3.7581583678467534,17.610000610351562,0.27817490696907043,107,,73583551,4262112,,,,,
2019-08-25,,,,1651.3544026206278,17.0,17,28.4779717,77.0606996,28.4815665,77.0713846,,,,4278,2399.5357419773936,0.898082623656631,1.584338665008545,0.2829510569572449,48,,81883680,2833719,181127,,,,
2019-08-26,,,,1574.2257862527742,2.0,2,28.5031533,77.0964809,28.5054195,77.097426,,,,2675,1072.570967078209,2.1802851853342333,42.0,0.08153737336397171,31,,79663738,1913091,,,,,
